"Mesh","Nodes","Triangles","Tri_occ","Pct_occ","Domain_km2","Ratio","P95","Max"
"35km",565,1075,102,9.49,207139,2.07,4,7
"75km",207,380,66,17.37,206433,3.2,8,12
